"location","people_vaccinated","people_fully_vaccinated","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred"
"Turkey",0,0,0,0
"Turkmenistan",0,0,0,0
"Turks and Caicos Islands",0,0,0,0
"Tuvalu",0,0,0,0
"Uganda",0,0,0,0
"Ukraine",0,0,0,0
"United Arab Emirates",0,0,0,0
"United Kingdom",0,0,0,0
"Uruguay",0,0,0,0
"Uzbekistan",0,0,0,0
"Vanuatu",0,0,0,0
"Venezuela",0,0,0,0
"Vietnam",0,0,0,0
"Wales",0,0,0,0
"Wallis and Futuna",0,0,0,0
"Yemen",0,0,0,0
"Zambia",0,0,0,0
"Zimbabwe",0,0,0,0
